Time,CO2,CO,Temp,Humidity
12:41:20,134,0,84.8,55
12:41:30,138,0,84.9,55
12:41:40,150,0,84.8,55
12:41:50,152,0,84.8,56
12:42:00,150,0,84.9,56
12:42:10,152,0,84.8,56
12:42:20,158,0,84.8,56
12:42:30,160,0,84.8,56
12:42:40,160,0,84.9,55
12:42:50,162,0,84.9,55
12:43:00,162,0,84.9,55
12:43:10,162,0,84.8,55
12:43:20,160,0,85,55
12:43:30,164,0,84.9,56
12:43:40,162,0,84.9,55
12:43:50,160,0,84.9,55
12:44:00,162,0,84.9,55
12:44:10,166,0,84.9,55
12:44:20,168,0,84.9,55
12:44:30,172,0,84.8,55
12:44:40,176,0,84.8,55
12:44:50,176,0,84.8,55
12:45:00,176,0,84.8,55
12:45:10,172,0,84.9,55
12:45:20,170,0,84.9,55
12:45:30,176,0,84.9,55
12:45:40,172,0,85,55
12:45:50,170,0,85.1,55
12:46:00,172,0,85,55
12:46:10,166,0,85.1,54
12:46:20,164,0,85.1,54
12:46:30,164,0,85.1,54
12:46:40,166,0,85.1,54
12:46:50,166,0,85,54
12:47:00,164,0,84.9,54
12:47:10,162,0,84.7,55
12:47:20,166,0,84.6,56
12:47:30,158,0,84.5,56
12:47:40,160,0,84.6,56
12:47:50,158,0,84.6,56
12:48:00,158,0,84.5,57
12:48:10,158,0,84.6,57
12:48:20,156,0,84.7,57
12:48:30,156,0,84.6,56
12:48:40,154,0,84.7,56
12:48:50,152,0,84.6,56
12:49:00,154,0,84.6,56
12:49:10,156,0,84.7,56
12:49:20,152,0,84.7,56
12:49:30,154,0,84.7,56
12:49:40,166,0,84.9,56
12:49:50,186,0,85.4,58
12:50:00,466,0,85.7,60
12:50:10,476,0,85.8,59
12:50:20,466,0,85.8,57
12:50:30,462,0,85.9,57
12:50:40,458,0,85.6,56
12:50:50,464,0,85.6,55
12:51:00,464,0,85.9,59
12:51:10,464,0,85.9,58
12:51:20,464,0,86,57
12:51:30,466,0,85.8,55
12:51:40,476,0,85.9,55
12:51:50,490,0,86,56
12:52:00,514,0,86,54
12:52:10,540,0,86,54
12:52:20,548,0,86,55
12:52:30,552,0,85.8,54
12:52:40,548,0,85.6,54
12:52:50,536,0,85.7,56
12:53:00,526,0,85.8,56
12:53:10,416,0,85.8,56
12:53:20,396,0,85.8,55
