Time,LAFmx,LAFmn,LAeq,LCpk
12:47:00 ,75.0 ,0.0 ,54.9 ,91.0 
12:48:00 ,87.3 ,0.0 ,67.6 ,111.1 
12:49:00 ,87.7 ,0.0 ,66.9 ,109.6 
12:50:00 ,83.0 ,49.4 ,60.5 ,105.3 
12:51:00 ,83.6 ,49.7 ,65.7 ,109.5 
12:52:00 ,79.4 ,49.2 ,60.2 ,106.0 
12:53:00 ,79.3 ,0.0 ,62.2 ,103.9 
12:54:00 ,81.1 ,0.0 ,58.8 ,109.3 
12:55:00 ,92.3 ,0.0 ,74.5 ,98.1 
12:56:00 ,94.7 ,49.4 ,71.0 ,117.5 
12:57:00 ,74.4 ,49.6 ,59.3 ,98.9 
12:58:00 ,77.4 ,51.2 ,63.0 ,100.0 
12:59:00 ,88.3 ,58.5 ,69.9 ,112.2 
13:00:00 ,76.6 ,0.0 ,62.2 ,102.4 
13:01:00 ,71.9 ,0.0 ,58.4 ,95.4 
13:02:00 ,72.9 ,0.0 ,58.7 ,94.7 
13:03:00 ,67.3 ,0.0 ,53.4 ,94.8 
13:04:00 ,76.7 ,0.0 ,60.5 ,103.2 
13:05:00 ,82.0 ,0.0 ,60.7 ,104.5 
13:06:00 ,66.4 ,0.0 ,51.3 ,89.4 
13:07:00 ,97.0 ,0.0 ,77.8 ,124.8 
13:08:00 ,90.4 ,61.4 ,74.3 ,119.1 
13:09:00 ,97.9 ,64.6 ,83.4 ,124.5 
13:10:00 ,93.9 ,69.3 ,81.8 ,121.4 
13:11:00 ,97.8 ,64.3 ,82.7 ,125.0 
13:12:00 ,104.1 ,62.6 ,85.9 ,125.7 
13:13:00 ,89.3 ,62.5 ,78.7 ,120.3 
13:14:00 ,96.1 ,76.0 ,86.1 ,124.4 
13:15:00 ,96.3 ,68.0 ,83.6 ,124.3 
13:16:00 ,94.2 ,64.6 ,78.3 ,121.7 
13:17:00 ,97.2 ,69.6 ,85.5 ,124.6 
13:18:00 ,91.0 ,65.0 ,78.7 ,119.5 
13:19:00 ,90.8 ,67.7 ,81.5 ,114.1 
13:20:00 ,96.0 ,71.2 ,83.9 ,123.5 
13:21:00 ,102.8 ,67.6 ,86.4 ,125.5 
13:22:00 ,93.1 ,69.4 ,79.6 ,123.4 
13:23:00 ,85.4 ,65.2 ,74.2 ,112.6 
13:24:00 ,95.8 ,67.8 ,81.0 ,121.2 
13:25:00 ,90.8 ,67.8 ,78.9 ,115.6 
13:26:00 ,85.5 ,64.0 ,71.5 ,113.2 
13:27:00 ,85.2 ,66.6 ,75.1 ,113.7 
13:28:00 ,95.8 ,65.3 ,79.6 ,118.8 
13:29:00 ,86.2 ,57.1 ,71.1 ,113.3 
13:30:00 ,88.7 ,55.9 ,76.2 ,118.5 
13:31:00 ,92.5 ,65.2 ,78.7 ,124.0 
13:32:00 ,89.8 ,67.2 ,75.1 ,117.4 
13:33:00 ,96.0 ,65.6 ,73.7 ,120.5 
13:34:00 ,76.7 ,65.5 ,71.6 ,100.7 
13:35:00 ,77.3 ,67.5 ,71.2 ,102.1 
13:36:00 ,89.5 ,64.7 ,73.8 ,114.3 
13:37:00 ,88.1 ,62.4 ,72.9 ,112.5 
13:38:00 ,92.4 ,61.9 ,75.3 ,117.6 
13:39:00 ,93.7 ,59.6 ,74.6 ,118.4 
13:40:00 ,91.6 ,55.3 ,74.2 ,120.5 
13:41:00 ,87.4 ,60.7 ,74.4 ,115.2 
13:42:00 ,83.4 ,58.1 ,70.4 ,112.0 
13:43:00 ,84.6 ,55.1 ,69.2 ,110.8 
13:44:00 ,84.7 ,53.2 ,69.2 ,115.4 
13:45:00 ,87.2 ,55.5 ,70.6 ,114.9 
13:46:00 ,88.1 ,60.5 ,77.0 ,115.9 
13:47:00 ,88.4 ,62.1 ,72.7 ,114.7 
13:48:00 ,88.8 ,60.3 ,76.9 ,118.8 
13:49:00 ,95.4 ,60.0 ,79.6 ,114.7 
13:50:00 ,90.8 ,57.6 ,74.8 ,119.8 
13:51:00 ,82.4 ,58.8 ,69.7 ,113.9 
13:52:00 ,79.0 ,62.4 ,69.8 ,107.5 
13:53:00 ,100.6 ,61.8 ,77.5 ,125.6 
13:54:00 ,82.3 ,59.3 ,70.0 ,109.5 
13:55:00 ,89.2 ,56.0 ,79.7 ,108.1 
13:56:00 ,85.5 ,64.3 ,77.8 ,104.0 
13:57:00 ,73.6 ,54.5 ,61.5 ,102.6 
13:58:00 ,90.7 ,53.1 ,75.9 ,116.2 
13:59:00 ,104.8 ,63.3 ,92.5 ,125.7 
14:00:00 ,91.4 ,61.6 ,78.7 ,112.0 
14:01:00 ,97.1 ,69.0 ,82.6 ,122.6 
14:02:00 ,92.8 ,58.2 ,79.9 ,120.6 
14:03:00 ,94.1 ,63.6 ,79.9 ,123.0 
14:04:00 ,84.6 ,61.5 ,74.0 ,109.6 
14:05:00 ,80.6 ,60.8 ,69.5 ,106.5 
14:06:00 ,86.6 ,61.5 ,76.6 ,108.9 
14:07:00 ,86.2 ,65.3 ,77.0 ,110.2 
14:08:00 ,88.0 ,64.2 ,77.9 ,115.7 
14:09:00 ,101.7 ,55.7 ,86.0 ,125.7 
14:10:00 ,95.3 ,61.1 ,81.4 ,119.5 
14:11:00 ,87.2 ,59.5 ,74.0 ,114.8 
14:12:00 ,89.6 ,63.7 ,79.6 ,111.3 
14:13:00 ,89.8 ,66.9 ,80.6 ,113.2 
14:14:00 ,92.5 ,64.1 ,73.8 ,119.6 
14:15:00 ,76.4 ,61.1 ,67.4 ,105.4 
14:16:00 ,77.8 ,55.0 ,66.0 ,105.0 
14:17:00 ,87.4 ,56.6 ,70.8 ,114.9 
14:18:00 ,90.4 ,61.1 ,78.4 ,117.4 
14:19:00 ,101.8 ,69.1 ,87.1 ,125.7 
14:20:00 ,96.3 ,67.9 ,82.4 ,118.4 
14:21:00 ,96.8 ,66.1 ,82.4 ,119.4 
14:22:00 ,103.2 ,68.5 ,90.4 ,125.7 
