Time,LAFmx,LAFmn,LAeq,LCpk
12:57:44,100.1,70.2,88.7,123.5 
12:57:54,97.0,72.8,89.2,123.1 
12:58:04,107.8,79.9,97.5,126.2 
12:58:14,101.8,84.4,91.7,126.2 
12:58:24,104.9,89.0,98.7,126.2 
12:58:34,94.5,76.3,84.0,117.8 
12:58:44,91.4,75.1,82.9,119.2 
12:58:54,80.3,75.6,78.0,98.3 
12:59:04,85.8,79.5,82.5,105.6 
12:59:14,85.4,72.1,77.9,115.9 
12:59:24,85.2,71.8,78.3,114.7 
12:59:34,84.8,69.3,78.2,115.9 
12:59:44,85.8,71.9,80.4,115.5 
12:59:54,83.4,66.0,75.3,110.2 
13:00:04,84.3,71.6,77.1,111.6 
13:00:14,90.8,77.3,85.2,117.9 
13:00:24,87.1,75.6,81.7,113.9 
13:00:34,90.6,75.8,84.8,119.0 
13:00:44,90.2,73.2,83.7,118.3 
13:00:54,91.6,81.6,87.1,119.9 
13:01:04,89.6,75.3,84.1,117.5 
13:01:14,81.4,68.3,74.0,107.2 
13:01:24,74.3,68.4,70.4,98.1 
13:01:34,84.0,68.4,76.1,111.2 
13:01:44,94.0,75.7,87.5,119.8 
13:01:54,94.6,83.1,90.3,121.2 
13:02:04,87.3,71.2,80.6,116.1 
13:02:14,78.2,65.5,74.3,106.3 
13:02:24,81.5,63.8,75.1,111.8 
13:02:34,80.2,69.3,74.9,111.9 
13:02:44,82.6,71.2,76.8,108.1 
13:02:54,78.5,61.4,68.0,105.5 
13:03:04,86.2,62.7,79.8,106.9 
13:03:14,86.6,63.5,77.6,111.4 
13:03:24,84.8,68.7,75.8,110.4 
13:03:34,85.8,65.7,78.9,112.1 
13:03:44,96.7,77.0,90.0,124.9 
13:03:54,99.1,81.8,92.7,123.2 
13:04:04,94.8,67.0,86.5,121.2 
13:04:14,95.4,81.4,89.1,124.9 
13:04:24,96.8,75.6,88.9,123.6 
13:04:34,93.4,77.1,85.9,119.5 
13:04:44,90.0,78.2,85.4,116.3 
13:04:54,98.4,72.2,89.5,125.9 
13:05:04,92.6,55.0,76.1,112.1 
13:05:14,86.5,62.4,79.3,116.3 
13:05:24,96.2,73.3,89.3,121.3 
13:05:34,96.1,69.0,87.2,121.8 
13:05:44,88.1,74.1,83.4,117.0 
13:05:54,91.5,81.7,87.1,118.8 
13:06:04,88.3,75.0,81.7,117.0 
13:06:14,88.6,77.1,82.4,112.8 
13:06:24,90.3,72.2,79.8,119.0 
13:06:34,82.8,72.3,77.7,109.8 
13:06:44,88.7,70.3,78.6,117.2 
13:06:54,71.4,66.7,68.5,99.4 
13:07:04,72.4,68.0,70.1,91.0 
13:07:14,73.4,67.4,70.6,92.8 
13:07:24,73.6,68.7,71.5,93.0 
13:07:34,79.6,67.1,72.8,105.4 
13:07:44,87.7,67.4,79.3,112.8 
13:07:54,86.1,65.5,75.2,111.5 
13:08:04,86.0,72.0,78.6,106.4 
13:08:14,88.1,66.1,83.9,117.5 
13:08:24,76.6,64.7,72.7,100.8 
13:08:34,70.1,65.3,67.1,93.4 
13:08:44,71.7,66.2,68.5,92.6 
13:08:54,68.5,65.7,67.3,92.0 
13:09:04,70.0,65.9,67.9,92.8 
13:09:14,88.2,66.9,78.3,115.3 
13:09:24,89.2,78.4,84.5,116.6 
13:09:34,82.7,66.2,73.7,113.7 
13:09:44,74.4,66.1,67.5,101.5 
13:09:54,71.6,66.2,69.0,101.7 
13:10:04,83.6,66.0,74.1,111.5 
13:10:14,93.3,78.3,87.4,119.6 
13:10:24,90.7,66.4,83.3,116.9 
13:10:34,80.1,64.2,73.8,107.6 
13:10:44,70.0,63.2,65.7,101.1 
13:10:54,73.6,64.0,67.5,103.3 
13:11:04,67.1,64.4,65.7,95.8 
13:11:14,71.5,64.5,66.3,97.4 
13:11:24,88.5,68.7,81.7,113.5 
13:11:34,81.1,65.4,70.8,108.8 
13:11:44,90.2,67.9,82.0,118.7 
13:11:54,94.8,68.4,80.8,118.7 
13:12:04,93.0,70.4,78.2,115.4 
13:12:14,72.9,66.2,68.1,105.6 
13:12:24,80.0,70.5,75.9,103.6 
13:12:34,79.6,71.7,75.7,108.8 
13:12:44,75.2,66.4,69.4,107.4 
13:12:54,75.7,66.4,70.1,103.5 
13:13:04,76.1,67.4,72.8,105.7 
13:13:14,86.9,67.0,79.1,114.9 
13:13:24,74.6,68.1,70.8,103.4 
13:13:34,75.0,69.1,70.9,97.4 
13:13:44,84.5,71.2,76.4,110.2 
13:13:54,83.7,73.5,77.1,106.9 
13:14:04,91.9,75.1,85.0,118.6 
13:14:14,86.9,72.0,80.3,119.6 
13:14:24,84.2,73.3,78.8,107.2 
13:14:34,88.7,77.5,82.0,108.8 
13:14:44,90.9,79.6,85.5,114.7 
13:14:54,90.5,73.1,82.3,107.2 
13:15:04,85.4,73.9,79.8,108.5 
13:15:14,85.5,76.9,81.4,113.5 
13:15:24,93.0,79.0,85.5,123.1 
13:15:34,91.1,71.7,84.0,117.7 
13:15:44,90.4,73.0,84.7,117.9 
13:15:54,88.9,70.8,83.2,113.5 
13:16:04,90.8,75.0,85.2,117.0 
13:16:14,86.9,73.0,81.2,113.2 
13:16:24,99.9,73.9,89.1,121.2 
13:16:34,93.2,78.2,86.6,118.8 
13:16:44,90.0,72.6,83.8,118.2 
13:16:54,93.0,78.5,86.4,115.5 
13:17:04,80.9,71.2,76.2,106.6 
13:17:14,86.2,69.7,80.0,116.7 
13:17:24,87.0,66.4,79.0,111.0 
13:17:34,87.4,69.1,78.6,112.3 
13:17:44,86.9,73.9,81.2,115.8 
13:17:54,85.2,74.1,80.0,111.9 
13:18:04,81.1,68.3,77.1,110.8 
13:18:14,79.3,65.4,72.5,104.6 
13:18:24,89.6,73.2,82.8,115.4 
13:18:34,96.6,76.8,87.8,120.2 
13:18:44,99.9,64.8,88.0,126.1 
13:18:54,72.9,62.7,67.5,98.7 
13:19:04,86.4,69.0,80.6,112.5 
13:19:14,72.9,67.7,69.8,94.9 
13:19:24,80.7,67.1,74.5,105.1 
13:19:34,70.3,66.2,68.2,92.5 
13:19:44,70.2,64.0,67.3,88.1 
13:19:54,84.4,62.7,76.5,114.0 
13:20:04,83.6,71.6,77.9,109.6 
13:20:14,89.1,74.3,82.9,113.4 
13:20:24,87.7,70.2,79.3,112.6 
13:20:34,83.1,63.2,76.8,110.3 
13:20:44,85.9,66.2,78.8,112.5 
13:20:54,88.6,62.0,80.5,114.2 
13:21:04,82.0,63.1,75.9,108.2 
13:21:14,88.2,74.1,81.5,115.4 
13:21:24,85.7,67.2,76.2,114.0 
13:21:34,73.2,63.3,69.4,99.8 
13:21:44,85.3,70.5,79.8,113.5 
13:21:54,83.1,69.7,78.0,112.8 
13:22:04,87.9,73.9,82.2,114.1 
13:22:14,87.1,71.7,81.5,115.3 
13:22:24,84.7,72.0,80.1,113.4 
13:22:34,95.4,66.6,86.2,119.7 
13:22:44,73.4,62.7,66.9,104.8 
13:22:54,88.1,61.3,74.1,118.0 
13:23:04,73.3,60.7,66.9,101.1 
13:23:14,83.6,61.4,74.9,111.8 
13:23:24,84.4,67.0,74.7,112.5 
13:23:34,89.9,74.3,83.6,115.0 
13:23:44,88.5,72.7,82.5,114.7 
13:23:54,78.7,61.8,71.2,107.9 
13:24:04,77.0,58.4,70.1,103.7 
13:24:14,78.0,59.0,68.5,104.9 
13:24:24,82.4,66.1,77.0,112.0 
13:24:34,84.6,67.3,78.9,112.0 
13:24:44,86.4,68.9,78.7,113.1 
13:24:54,86.5,71.3,81.2,113.7 
13:25:04,89.6,71.4,82.6,116.2 
13:25:14,92.0,75.3,84.6,122.4 
13:25:24,85.2,70.5,81.1,113.4 
13:25:34,81.6,65.4,76.5,110.9 
13:25:44,88.8,67.7,82.2,115.8 
13:25:54,84.6,62.4,76.7,112.0 
13:26:04,88.9,64.6,82.7,113.4 
13:26:14,84.7,72.2,80.5,110.7 
13:26:24,74.2,64.2,70.0,102.8 
13:26:34,77.3,66.9,70.7,93.9 
13:26:44,69.8,63.4,65.8,89.0 
13:26:54,72.6,62.9,66.3,98.5 
13:27:04,85.7,67.2,80.3,113.7 
13:27:14,79.6,62.8,73.0,101.7 
13:27:24,66.1,61.0,63.0,97.6 
13:27:34,76.8,64.6,71.9,107.6 
13:27:44,77.6,61.4,72.0,107.4 
13:27:54,78.9,59.1,70.0,105.1 
13:28:04,84.5,56.5,78.3,110.2 
13:28:14,85.3,62.8,75.7,113.2 
13:28:24,82.9,65.4,77.4,113.6 
13:28:34,83.9,60.9,76.1,112.4 
13:28:44,81.4,61.6,75.2,110.6 
13:28:54,78.4,56.0,68.6,104.6 
13:29:04,81.0,57.8,75.5,109.6 
13:29:14,81.2,64.5,74.0,112.0 
13:29:24,83.5,64.9,76.1,112.0 
13:29:34,81.9,57.1,69.5,111.6 
13:29:44,74.0,57.0,66.6,103.6 
13:29:54,83.8,62.6,77.6,109.2 
13:30:04,93.4,82.2,88.4,121.2 
13:30:14,86.0,69.2,81.6,114.4 
13:30:24,82.7,60.5,74.8,100.8 
13:30:34,74.6,63.6,67.2,104.1 
13:30:44,74.2,60.5,66.5,107.6 
13:30:54,71.1,59.9,65.2,99.0 
13:31:04,74.7,59.8,66.0,94.3 
13:31:14,78.3,62.5,69.4,97.4 
13:31:24,81.5,71.1,76.6,101.5 
13:31:34,77.6,66.6,70.9,103.3 
13:31:44,79.7,67.8,73.2,112.5 
13:31:54,82.2,72.9,76.0,104.5 
13:32:04,77.4,73.3,74.8,97.7 
13:32:14,82.0,73.4,75.8,101.3 
13:32:24,77.5,73.6,75.2,102.5 
13:32:34,77.2,68.6,72.9,99.7 
13:32:44,76.7,65.2,70.3,100.5 
13:32:54,77.0,66.9,71.5,103.2 
13:33:04,80.7,64.9,74.3,101.5 
13:33:14,83.6,68.2,74.0,96.0 
13:33:24,79.2,67.9,72.5,96.3 
13:33:34,71.4,67.4,69.1,95.7 
13:33:44,78.5,65.9,72.9,99.1 
13:33:54,79.8,65.4,68.7,98.2 
13:34:04,71.9,64.9,67.8,91.2 
13:34:14,84.4,66.7,76.6,113.0 
13:34:24,75.0,65.8,69.3,106.3 
13:34:34,74.5,64.7,67.6,98.8 
13:34:44,73.0,62.4,66.2,100.5 
13:34:54,76.3,64.1,67.9,95.9 
13:35:04,79.4,64.1,69.6,107.0 
13:35:14,83.1,63.4,72.7,110.0 
13:35:24,72.6,62.0,66.4,99.7 
13:35:34,77.6,63.8,71.0,101.3 
13:35:44,80.8,63.2,75.9,113.5 
13:35:54,84.3,65.8,78.4,113.5 
13:36:04,82.7,62.6,76.3,110.4 
13:36:14,74.7,65.2,68.8,100.0 
13:36:24,73.2,64.8,67.5,100.0 
13:36:34,74.3,65.2,70.1,101.2 
13:36:44,79.1,69.2,74.3,110.8 
13:36:54,80.4,70.6,75.0,107.0 
13:37:04,86.8,76.9,82.4,110.4 
13:37:14,94.5,83.6,90.7,114.9 
13:37:24,97.7,85.0,93.4,115.6 
13:37:34,95.3,80.9,90.0,109.8 
13:37:44,93.8,81.0,85.9,107.6 
13:37:54,84.0,75.3,80.3,102.3 
13:38:04,78.6,71.1,74.3,98.4 
13:38:14,85.2,71.2,78.8,101.0 
13:38:24,78.2,70.0,73.4,99.5 
13:38:34,79.4,69.3,73.5,97.5 
13:38:44,82.7,72.2,78.1,98.2 
13:38:54,83.4,73.0,79.2,102.3 
13:39:04,93.7,78.9,86.6,108.3 
13:39:14,93.2,73.1,84.6,106.6 
13:39:24,79.4,70.4,75.1,103.3 
13:39:34,87.0,71.0,77.7,104.6 
13:39:44,83.7,71.3,75.1,98.9 
13:39:54,81.4,72.7,76.5,107.2 
13:40:04,78.2,67.5,72.6,108.0 
13:40:14,74.3,64.5,68.0,93.7 
13:40:24,75.0,62.3,66.3,97.3 
13:40:34,72.9,61.2,64.6,95.3 
13:40:44,68.8,62.9,65.0,94.2 
13:40:54,70.8,66.2,68.3,95.4 
13:41:04,71.5,63.7,66.8,92.8 
13:41:14,70.8,63.0,66.4,91.6 
13:41:24,70.0,63.6,66.3,91.1 
13:41:34,70.9,63.2,66.6,93.2 
13:41:44,70.3,63.3,67.1,92.2 
13:41:54,70.4,64.0,67.9,92.6 
13:42:04,69.7,62.8,66.4,89.4 
13:42:14,72.1,62.7,66.2,90.7 
13:42:24,68.9,63.3,66.2,91.4 
13:42:34,83.3,63.9,71.9,101.5 
13:42:44,77.5,62.2,70.3,95.0 
13:42:54,72.1,62.7,67.1,92.0 
13:43:04,73.5,62.9,68.7,92.5 
13:43:14,75.3,65.9,69.1,97.9 
13:43:24,76.0,65.8,69.6,99.1 
13:43:34,79.5,63.1,70.1,96.6 
13:43:44,74.8,63.3,68.4,92.1 
13:43:54,70.9,60.2,63.2,90.4 
13:44:04,77.4,59.9,67.8,92.0 
13:44:14,78.2,61.7,70.4,92.6 
13:44:24,83.1,61.5,68.5,104.4 
13:44:34,79.3,63.0,67.4,104.8 
13:44:44,80.1,62.9,68.2,102.5 
13:44:54,71.7,62.1,66.3,100.8 
13:45:04,75.6,65.5,68.9,106.2 
