Time,Latitude,Longitude,Altitude
12:47:44,40.442039,-79.927495,327.466187
12:47:50,40.44204,-79.927757,326.504883
12:47:52,40.442075,-79.927804,326.504883
12:48:04,40.442487,-79.92786,323.140381
12:48:15,40.443035,-79.927855,317.853027
12:48:31,40.443801,-79.927878,314.969116
12:48:42,40.444027,-79.927889,314.007813
12:48:43,40.444067,-79.927898,314.007813
12:48:57,40.444546,-79.928582,313.046509
12:49:03,40.444765,-79.929075,312.565796
12:49:16,40.445237,-79.930202,311.123779
12:49:31,40.445789,-79.931466,309.681885
12:49:42,40.446115,-79.932186,309.681885
12:49:57,40.446504,-79.93304,306.797852
12:50:15,40.446938,-79.934057,307.759277
12:50:30,40.44723,-79.935121,307.759277
12:50:49,40.44761,-79.936581,305.83667
12:51:32,40.447942,-79.937604,296.704102
12:51:46,40.447828,-79.938601,289.494141
12:52:07,40.447647,-79.940395,287.09082
12:52:23,40.447507,-79.941795,288.532959
12:52:28,40.4475,-79.941982,286.129517
12:52:30,40.447484,-79.942002,284.687622
12:52:53,40.447381,-79.943643,276.99707
12:53:03,40.447315,-79.944629,273.632446
12:53:13,40.447257,-79.945563,269.787109
12:53:23,40.447195,-79.946453,272.671143
12:53:40,40.447114,-79.947863,274.113037
12:53:48,40.44712,-79.948287,274.59375
12:54:31,40.446973,-79.949241,286.129517
12:54:57,40.446821,-79.951091,287.09082
12:55:20,40.44622,-79.952429,283.726196
12:55:34,40.445628,-79.953268,282.284302
12:55:46,40.445079,-79.95402,282.284302
12:55:58,40.444523,-79.954692,279.880859
12:56:27,40.444502,-79.954744,277.958252
12:56:53,40.443846,-79.955749,278.919678
12:57:09,40.443223,-79.956634,274.59375
12:57:26,40.442488,-79.957634,275.555054
12:57:39,40.441926,-79.958406,276.035645
12:57:49,40.441452,-79.959018,276.035645
12:58:19,40.439972,-79.960981,279.400269
12:58:26,40.439713,-79.961354,280.842407
12:58:36,40.439376,-79.961846,279.880859
12:59:52,40.437708,-79.965011,277.477661
12:59:57,40.437506,-79.965404,275.555054
13:00:02,40.437225,-79.965689,273.151855
13:00:05,40.437047,-79.965804,271.229126
13:00:13,40.436612,-79.966261,267.864502
13:00:33,40.436471,-79.968299,264.499878
13:00:50,40.436826,-79.969943,263.538574
13:01:00,40.437091,-79.970782,264.499878
13:01:10,40.437361,-79.971607,260.17395
13:01:16,40.437477,-79.971958,256.809326
13:01:21,40.437513,-79.972053,255.36731
13:01:30,40.437518,-79.972061,255.848022
13:01:46,40.437705,-79.97251,249.599487
13:01:54,40.437902,-79.973145,249.118774
13:01:57,40.437977,-79.973416,247.196045
13:02:06,40.438053,-79.974184,249.118774
13:02:15,40.438108,-79.974816,249.599487
13:02:25,40.438163,-79.975457,250.0802
13:02:34,40.438206,-79.97602,251.522095
13:02:47,40.438242,-79.976821,252.483398
13:02:55,40.438266,-79.977277,253.444702
13:03:12,40.438263,-79.977515,257.770752
13:03:29,40.438308,-79.978498,258.251343
13:03:40,40.438328,-79.979269,258.731934
13:03:48,40.43836,-79.979928,257.770752
13:04:01,40.438422,-79.981,255.848022
13:04:13,40.438459,-79.98195,253.444702
13:04:24,40.438505,-79.982873,251.522095
13:04:36,40.438524,-79.983848,254.406006
13:04:46,40.438549,-79.984663,255.848022
13:04:57,40.438602,-79.985612,252.002808
13:05:05,40.438628,-79.986277,249.599487
13:05:24,40.43867,-79.986872,248.638184
13:05:33,40.438668,-79.987545,250.560791
13:05:43,40.438694,-79.988226,252.963989
13:05:50,40.438718,-79.988603,248.157593
13:06:00,40.438748,-79.989313,244.312256
13:06:10,40.438778,-79.990135,244.312256
13:06:21,40.438845,-79.991024,239.505493
13:06:33,40.438825,-79.992093,239.505493
13:06:42,40.438843,-79.992961,239.986206
13:07:27,40.439533,-79.994554,239.986206
13:08:26,40.440031,-79.996212,241.428223
13:12:07,40.443675,-79.999042,539.917603
13:14:31,40.441408,-80.003683,255.36731
13:15:55,40.443453,-80.004236,220.759888
