Longitude, Latitude, CO2
-79.928755067596,40.444626034204,118
-79.930014000003,40.445199000001,126
-79.931755000003,40.445977000001,130
-79.931755000018,40.445977000008,128
-79.933072000008,40.446556000003,124
-79.934372000004,40.447111000002,120
-79.935453000001,40.447416,120
-79.936111000001,40.447575,120
-79.941303000026,40.447608,128
-79.94130300007,40.447608,140
-79.941303000114,40.447608000001,142
-79.941303000158,40.447608000001,144
-79.941303000202,40.447608000001,140
-79.943180000002,40.447521,140
-79.943180000013,40.447520999999,136
-79.943180000024,40.447520999999,138
-79.943180000035,40.447520999998,144
-79.944864000013,40.447376999999,146
-79.946042000005,40.44729,148
-79.947202000005,40.447213,148
-79.947809000002,40.447178,130
-79.948645,40.447113,126
-79.948645000002,40.447113,130
-79.949539000005,40.447026999999,230
-79.949539000013,40.447026999999,244
-79.94953900002,40.447026999998,248
-79.950528000001,40.446976,234
-79.952343000006,40.446305999998,216
-79.95234300002,40.446305999992,200
-79.954015000014,40.44512499999,188
-79.954015000028,40.44512499998,188
-79.956434000001,40.443427999999,182
-79.956434000009,40.443427999994,180
-79.957177000006,40.442903999996,176
-79.957875000005,40.442369999996,174
-79.958748000007,40.441718999995,180
-79.961162000012,40.439957999991,202
-79.961162000033,40.439957999976,208
-79.961162000053,40.439957999961,206
-79.962678000003,40.438824999998,200
-79.962678000012,40.438824999991,200
-79.963156000002,40.438430999999,196
-79.963536000001,40.438142999999,204
-79.963961000001,40.437899999999,224
-79.964878000004,40.437796,232
-79.965340000001,40.437615,232
-79.965917000001,40.437031999999,226
-79.966930000001,40.436541,216
-79.967817000005,40.43651,208
-79.970685000002,40.437082,186
-79.970685000019,40.437082000005,174
-79.971968000003,40.437524000001,168
-79.972304000001,40.437651,160
-79.975077000002,40.438189,146
-79.975077000022,40.438189000004,138
-79.975077000041,40.438189000007,138
-79.975765000003,40.438244,124
-79.976453000004,40.43829,120
-79.977027000003,40.438325,114
-79.977842000002,40.438361,114
-79.978801000003,40.438406,112
-79.979225,40.438414,114
-79.980437000004,40.438395,134
-79.980437000014,40.438395,142
-79.980437000025,40.438395,150
-79.981589000002,40.438476,154
-79.982892000006,40.438526,154
-79.984341000004,40.438604,152
-79.985644000011,40.43865,144
-79.987189000012,40.438709,144
-79.988600000007,40.438766,140
-79.990656000007,40.438842,142
-79.990656000024,40.438842000001,138
-79.994407000022,40.439800000006,136
-79.994407000054,40.439800000014,136
-79.994407000086,40.439800000022,138
-79.994407000117,40.43980000003,134
-79.994407000152,40.439800000039,136
-79.994407000184,40.439800000047,136
-79.994407000216,40.439800000055,130
-79.996211000005,40.439248999999,132
-79.99621100002,40.439248999994,128
-79.996211000035,40.439248999989,188
-79.99621100005,40.439248999985,190
-80.000086000026,40.440531000009,190
-80.000086000059,40.44053100002,180
-80.000086000092,40.44053100003,176
-80.000086000125,40.440531000041,158
-80.000086000157,40.440531000052,152
-80.00008600019,40.440531000063,144
-80.000086000223,40.440531000074,136
-80.000086000256,40.440531000085,128
-80.000086000288,40.440531000095,132
-80.000086000321,40.440531000106,134
-80.000086000354,40.440531000117,134
