Longitude, Latitude, CO2
-79.927757000001,40.44204,82
-79.92786,40.442487000002,82
-79.927855,40.443035000001,86
-79.927878,40.443801000001,90
-79.927878,40.443801000008,92
-79.927889,40.444027000001,90
-79.928582000002,40.444546000002,90
-79.930202000004,40.445237000002,116
-79.931466000001,40.445789,112
-79.931466000012,40.445789000005,112
-79.932186000004,40.446115000002,108
-79.933040000004,40.446504000002,106
-79.934057000009,40.446938000004,104
-79.935121000002,40.44723,102
-79.935121000011,40.447230000003,102
-79.936581000009,40.447610000002,102
-79.936581000021,40.447610000005,100
-79.937604000007,40.447942000002,98
-79.937604000016,40.447942000005,104
-79.937604000024,40.447942000008,130
-79.937604000033,40.447942000011,306
-79.938601000004,40.447828,298
-79.940395000002,40.447647,266
-79.940395000017,40.447646999998,260
-79.941795000012,40.447506999999,190
-79.941982000001,40.4475,164
-79.94364300001,40.447380999999,170
-79.943643000024,40.447380999999,198
-79.944629000003,40.447315,200
-79.945563000003,40.447257,196
-79.946453000003,40.447195,182
-79.947863000005,40.447114,160
-79.947863000017,40.447113999999,156
-79.948287000003,40.44712,156
-79.949241000007,40.446972999999,152
-79.949241000015,40.446972999998,152
-79.949241000023,40.446972999996,178
-79.949241000031,40.446972999995,222
-79.951091000009,40.446820999999,218
-79.951091000025,40.446820999998,214
-79.952429000011,40.446219999995,200
-79.952429000023,40.44621999999,192
-79.953268000005,40.445627999996,188
-79.954020000002,40.445078999999,182
-79.954692000001,40.444523,174
-79.954692000006,40.444522999995,154
-79.954744,40.444502,150
-79.954744000001,40.444502,140
-79.955749000008,40.443845999994,128
-79.955749000017,40.443845999989,122
-79.956634000003,40.443222999998,114
-79.95663400001,40.443222999993,118
-79.957634000007,40.442487999995,122
-79.958406000001,40.441926,140
-79.958406000007,40.441925999995,152
-79.959018000004,40.441451999997,150
-79.960981000013,40.43997199999,146
-79.96098100003,40.439971999977,144
-79.960981000046,40.439971999965,140
-79.961846,40.439376,134
-79.965011000003,40.437707999999,132
-79.965011000029,40.437707999984,130
-79.965011000056,40.43770799997,126
-79.965011000083,40.437707999956,124
-79.96501100011,40.437707999942,124
-79.965011000137,40.437707999928,130
-79.965011000163,40.437707999914,132
-79.96501100019,40.4377079999,130
-79.966261000001,40.436611999999,128
-79.968299000007,40.436471,114
-79.968299000024,40.436470999998,112
-79.969943000006,40.436826000001,110
-79.969943000019,40.436826000004,110
-79.970782000005,40.437091000002,108
-79.971607000005,40.437361000002,108
-79.972053,40.437513,104
-79.972061,40.437518,112
-79.972510000003,40.437705000001,238
-79.973145000001,40.437902,346
-79.974816000001,40.438108,212
-79.975457000001,40.438163,178
-79.976020000001,40.438206,174
-79.976821000002,40.438242,172
-79.977515,40.438263,166
-79.977515000002,40.438263,160
-79.978498000004,40.438308,242
-79.978498000012,40.438308000001,422
-79.979269000005,40.438328,320
-79.979928000004,40.43836,292
-79.981000000008,40.438422,248
-79.981950000005,40.438459,192
-79.982873000003,40.438505,158
-79.983848000002,40.438524,148
-79.984663000001,40.438549,144
-79.985612000001,40.438602,136
-79.986872000001,40.43867,122
-79.986872000006,40.43867,126
-79.987545000002,40.438668,120
-79.988226000002,40.438694,124
-79.988603000001,40.438718,122
-79.989313000004,40.438748,128
-79.990135000005,40.438778,122
-79.991024000005,40.438845,122
-79.992093000005,40.438825,128
-79.992961000003,40.438843,128
-79.994554000007,40.439533000003,126
-79.994554000022,40.439533000009,126
-79.994554000035,40.439533000015,126
-79.994554000048,40.439533000021,130
-79.996212000001,40.440031,150
-79.996212000015,40.440031000005,170
-79.996212000029,40.440031000009,174
-79.996212000043,40.440031000013,172
-79.996212000057,40.440031000017,174
-79.996212000072,40.440031000021,172
-79.999042000005,40.443675000006,170
-79.999042000029,40.443675000037,176
-79.999042000053,40.443675000068,176
-79.999042000077,40.443675000099,176
-79.999042000101,40.443675000129,178
-79.999042000124,40.44367500016,176
-79.999042000148,40.443675000191,180
-79.999042000172,40.443675000222,178
-79.999042000196,40.443675000253,168
-79.99904200022,40.443675000284,156
-79.999042000244,40.443675000314,160
-79.999042000268,40.443675000345,164
-79.999042000292,40.443675000376,174
-79.999042000316,40.443675000407,172
-79.99904200034,40.443675000438,166
-79.999042000364,40.443675000468,164
-79.999042000388,40.443675000499,160
-79.999042000412,40.44367500053,154
-79.999042000436,40.443675000561,152
-79.99904200046,40.443675000592,148
-79.999042000483,40.443675000623,148
-79.999042000507,40.443675000653,152
-80.003683000004,40.441407999998,156
-80.003683000043,40.441407999979,154
-80.003683000082,40.44140799996,156
-80.003683000122,40.441407999941,152
-80.003683000161,40.441407999921,150
-80.0036830002,40.441407999902,144
-80.003683000239,40.441407999883,142
-80.003683000279,40.441407999864,134
-80.003683000318,40.441407999845,134
-80.003683000357,40.441407999826,136
-80.003683000396,40.441407999806,136
-80.003683000436,40.441407999787,154
-80.003683000475,40.441407999768,166
-80.003683000514,40.441407999749,174
-80.003683000553,40.44140799973,168
-80.004236000003,40.443453000012,166
-80.004236000008,40.443453000029,168
-80.004236000013,40.443453000047,164
-80.004236000017,40.443453000064,158
-80.004236000022,40.443453000081,154
-80.004236000027,40.443453000099,152
-80.004236000031,40.443453000116,150
-80.004236000036,40.443453000133,142
-80.003551999995,40.443687000001,138
-80.003059999996,40.443840000001,134
-80.000898999997,40.444498000001,134
-80.00089899998,40.444498000006,138
-80.000898999964,40.444498000011,136
